MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20251014,CA,27.30,34.18,22.88,14.39,1.25,0.00,2025-10-14,2025-10-20,2
20251007,CA,27.20,34.28,22.88,14.39,1.25,0.00,2025-10-07,2025-10-13,2
20250930,CA,26.78,34.70,19.91,17.36,1.25,0.00,2025-09-30,2025-10-06,2
20250923,CA,26.78,34.70,19.67,17.60,1.25,0.00,2025-09-23,2025-09-29,2
20250916,CA,26.78,33.67,16.55,19.51,3.49,0.00,2025-09-16,2025-09-22,2
20250909,CA,23.99,36.45,16.55,19.12,3.88,0.00,2025-09-09,2025-09-15,2
20250902,CA,23.99,36.46,16.55,18.30,4.70,0.00,2025-09-02,2025-09-08,2
20250826,CA,23.99,36.46,16.55,17.11,5.80,0.10,2025-08-26,2025-09-01,2
20250819,CA,23.99,36.46,16.55,17.11,5.80,0.10,2025-08-19,2025-08-25,2
20250812,CA,23.98,36.46,16.55,17.11,5.80,0.10,2025-08-12,2025-08-18,2
20250805,CA,23.98,36.46,16.55,17.11,5.80,0.10,2025-08-05,2025-08-11,2
20250729,CA,23.98,36.46,16.55,17.11,5.80,0.10,2025-07-29,2025-08-04,2
20250722,CA,23.98,36.46,16.55,17.11,5.80,0.10,2025-07-22,2025-07-28,2
20250715,CA,23.98,36.46,16.55,17.11,5.80,0.10,2025-07-15,2025-07-21,2
20250708,CA,23.99,36.74,16.26,17.11,5.80,0.10,2025-07-08,2025-07-14,2
20250701,CA,32.19,28.52,16.30,17.07,5.81,0.10,2025-07-01,2025-07-07,2
20250624,CA,32.17,28.54,16.30,17.07,5.81,0.10,2025-06-24,2025-06-30,2
20250617,CA,37.73,22.99,16.30,17.07,5.81,0.10,2025-06-17,2025-06-23,2
20250610,CA,39.01,21.71,16.30,17.07,5.81,0.10,2025-06-10,2025-06-16,2
20250603,CA,39.01,21.18,15.08,17.62,7.01,0.10,2025-06-03,2025-06-09,2
20250527,CA,40.22,19.97,15.08,17.63,7.00,0.10,2025-05-27,2025-06-02,2
20250520,CA,41.86,18.33,15.08,17.63,7.00,0.10,2025-05-20,2025-05-26,2
20250513,CA,41.86,18.33,15.08,17.63,7.00,0.10,2025-05-13,2025-05-19,2
20250506,CA,43.73,16.46,15.08,16.43,8.20,0.10,2025-05-06,2025-05-12,2
20250429,CA,43.73,16.46,15.08,16.43,7.57,0.73,2025-04-29,2025-05-05,2
20250422,CA,43.66,16.53,15.08,16.43,7.57,0.73,2025-04-22,2025-04-28,2
20250415,CA,43.71,16.49,15.08,16.43,7.57,0.73,2025-04-15,2025-04-21,2
20250408,CA,43.71,16.49,15.08,16.43,7.57,0.73,2025-04-08,2025-04-14,2
20250401,CA,43.71,16.49,15.08,12.96,11.03,0.73,2025-04-01,2025-04-07,2
20250325,CA,43.71,16.49,15.08,12.97,11.03,0.73,2025-03-25,2025-03-31,2
20250318,CA,42.90,17.29,15.08,12.97,11.03,0.73,2025-03-18,2025-03-24,2
20250311,CA,41.78,16.65,16.74,10.08,14.02,0.73,2025-03-11,2025-03-17,2
20250304,CA,41.82,16.61,16.74,10.08,14.02,0.73,2025-03-04,2025-03-10,2
20250225,CA,41.82,16.61,16.74,10.08,14.75,0.00,2025-02-25,2025-03-03,2
20250218,CA,41.82,16.61,16.74,10.08,14.75,0.00,2025-02-18,2025-02-24,2
20250211,CA,33.22,12.47,19.65,13.45,21.21,0.00,2025-02-11,2025-02-17,2
20250204,CA,33.22,12.47,19.65,13.45,21.21,0.00,2025-02-04,2025-02-10,2
20250128,CA,33.22,12.47,21.45,20.98,11.88,0.00,2025-01-28,2025-02-03,2
20250121,CA,33.22,27.40,6.53,20.96,11.90,0.00,2025-01-21,2025-01-27,2
20250114,CA,39.11,24.96,8.98,25.88,1.06,0.00,2025-01-14,2025-01-20,2
20250107,CA,39.11,24.96,25.50,9.37,1.06,0.00,2025-01-07,2025-01-13,2
20241231,CA,40.90,27.58,25.82,4.63,1.06,0.00,2024-12-31,2025-01-06,2
20241224,CA,43.49,39.79,11.03,4.67,1.03,0.00,2024-12-24,2024-12-30,2
20241217,CA,43.49,39.79,11.03,4.67,1.03,0.00,2024-12-17,2024-12-23,2
20241210,CA,43.46,39.82,11.03,4.67,1.03,0.00,2024-12-10,2024-12-16,2
20241203,CA,56.78,26.50,11.03,4.67,1.03,0.00,2024-12-03,2024-12-09,2
20241126,CA,56.09,27.18,11.03,4.67,1.03,0.00,2024-11-26,2024-12-02,2
20241119,CA,28.61,54.52,11.37,4.56,0.95,0.00,2024-11-19,2024-11-25,2
20241112,CA,25.51,57.48,11.50,4.56,0.95,0.00,2024-11-12,2024-11-18,2
20241105,CA,25.53,62.21,7.95,4.30,0.00,0.00,2024-11-05,2024-11-11,2
20241029,CA,25.37,62.37,7.96,4.30,0.00,0.00,2024-10-29,2024-11-04,2
20241022,CA,24.68,61.28,9.74,4.30,0.00,0.00,2024-10-22,2024-10-28,2
20241015,CA,24.68,61.28,9.74,4.30,0.00,0.00,2024-10-15,2024-10-21,2
20241008,CA,24.68,61.55,12.06,1.72,0.00,0.00,2024-10-08,2024-10-14,2
20241001,CA,28.40,60.94,10.59,0.08,0.00,0.00,2024-10-01,2024-10-07,2
20240924,CA,28.59,60.75,10.59,0.08,0.00,0.00,2024-09-24,2024-09-30,2
20240917,CA,28.59,60.75,10.59,0.08,0.00,0.00,2024-09-17,2024-09-23,2
20240910,CA,28.59,60.73,10.61,0.08,0.00,0.00,2024-09-10,2024-09-16,2
20240903,CA,45.59,46.05,8.36,0.00,0.00,0.00,2024-09-03,2024-09-09,2
20240827,CA,58.11,34.98,6.81,0.10,0.00,0.00,2024-08-27,2024-09-02,2
20240820,CA,66.59,26.50,6.81,0.10,0.00,0.00,2024-08-20,2024-08-26,2
20240813,CA,77.29,17.40,5.32,0.00,0.00,0.00,2024-08-13,2024-08-19,2
20240806,CA,77.26,17.43,5.32,0.00,0.00,0.00,2024-08-06,2024-08-12,2
20240730,CA,78.78,16.77,4.44,0.00,0.00,0.00,2024-07-30,2024-08-05,2
20240723,CA,78.80,16.76,4.44,0.00,0.00,0.00,2024-07-23,2024-07-29,2
20240716,CA,78.80,19.59,1.62,0.00,0.00,0.00,2024-07-16,2024-07-22,2
20240709,CA,80.72,18.50,0.77,0.00,0.00,0.00,2024-07-09,2024-07-15,2
20240702,CA,94.25,5.75,0.00,0.00,0.00,0.00,2024-07-02,2024-07-08,2
20240625,CA,97.18,2.82,0.00,0.00,0.00,0.00,2024-06-25,2024-07-01,2
20240618,CA,98.79,1.21,0.00,0.00,0.00,0.00,2024-06-18,2024-06-24,2
20240611,CA,98.79,1.21,0.00,0.00,0.00,0.00,2024-06-11,2024-06-17,2
20240604,CA,98.78,1.22,0.00,0.00,0.00,0.00,2024-06-04,2024-06-10,2
20240528,CA,98.77,1.23,0.00,0.00,0.00,0.00,2024-05-28,2024-06-03,2
20240521,CA,98.77,1.23,0.00,0.00,0.00,0.00,2024-05-21,2024-05-27,2
20240514,CA,98.77,1.23,0.00,0.00,0.00,0.00,2024-05-14,2024-05-20,2
20240507,CA,97.32,2.68,0.00,0.00,0.00,0.00,2024-05-07,2024-05-13,2
20240430,CA,97.32,2.68,0.00,0.00,0.00,0.00,2024-04-30,2024-05-06,2
20240423,CA,97.32,2.68,0.00,0.00,0.00,0.00,2024-04-23,2024-04-29,2
20240416,CA,97.32,2.68,0.00,0.00,0.00,0.00,2024-04-16,2024-04-22,2
20240409,CA,97.32,2.68,0.00,0.00,0.00,0.00,2024-04-09,2024-04-15,2
20240402,CA,95.46,4.54,0.00,0.00,0.00,0.00,2024-04-02,2024-04-08,2
20240326,CA,95.46,4.54,0.00,0.00,0.00,0.00,2024-03-26,2024-04-01,2
20240319,CA,95.46,4.54,0.00,0.00,0.00,0.00,2024-03-19,2024-03-25,2
20240312,CA,95.46,4.54,0.00,0.00,0.00,0.00,2024-03-12,2024-03-18,2
20240305,CA,95.46,4.54,0.00,0.00,0.00,0.00,2024-03-05,2024-03-11,2
20240227,CA,92.97,7.03,0.00,0.00,0.00,0.00,2024-02-27,2024-03-04,2
20240220,CA,92.97,7.03,0.00,0.00,0.00,0.00,2024-02-20,2024-02-26,2
20240213,CA,92.81,7.19,0.00,0.00,0.00,0.00,2024-02-13,2024-02-19,2
20240206,CA,92.84,7.16,0.00,0.00,0.00,0.00,2024-02-06,2024-02-12,2
20240130,CA,90.53,9.47,0.00,0.00,0.00,0.00,2024-01-30,2024-02-05,2
20240123,CA,96.55,3.45,0.00,0.00,0.00,0.00,2024-01-23,2024-01-29,2
20240116,CA,96.65,3.35,0.00,0.00,0.00,0.00,2024-01-16,2024-01-22,2
20240109,CA,96.65,3.35,0.00,0.00,0.00,0.00,2024-01-09,2024-01-15,2
20240102,CA,96.65,3.35,0.00,0.00,0.00,0.00,2024-01-02,2024-01-08,2
20231226,CA,96.65,3.35,0.00,0.00,0.00,0.00,2023-12-26,2024-01-01,2
20231219,CA,96.33,3.67,0.00,0.00,0.00,0.00,2023-12-19,2023-12-25,2
20231212,CA,96.33,3.67,0.00,0.00,0.00,0.00,2023-12-12,2023-12-18,2
20231205,CA,96.33,3.67,0.00,0.00,0.00,0.00,2023-12-05,2023-12-11,2
20231128,CA,95.32,4.68,0.00,0.00,0.00,0.00,2023-11-28,2023-12-04,2
20231121,CA,95.32,4.68,0.00,0.00,0.00,0.00,2023-11-21,2023-11-27,2
20231114,CA,95.32,4.68,0.00,0.00,0.00,0.00,2023-11-14,2023-11-20,2
20231107,CA,94.04,5.96,0.00,0.00,0.00,0.00,2023-11-07,2023-11-13,2
20231031,CA,94.34,5.66,0.00,0.00,0.00,0.00,2023-10-31,2023-11-06,2
20231024,CA,94.32,5.68,0.00,0.00,0.00,0.00,2023-10-24,2023-10-30,2
20231017,CA,94.32,5.68,0.00,0.00,0.00,0.00,2023-10-17,2023-10-23,2
20231010,CA,93.98,5.95,0.07,0.00,0.00,0.00,2023-10-10,2023-10-16,2
20231003,CA,94.01,5.93,0.07,0.00,0.00,0.00,2023-10-03,2023-10-09,2
20230926,CA,94.01,5.93,0.07,0.00,0.00,0.00,2023-09-26,2023-10-02,2
20230919,CA,93.53,6.23,0.24,0.00,0.00,0.00,2023-09-19,2023-09-25,2
20230912,CA,93.54,6.24,0.22,0.00,0.00,0.00,2023-09-12,2023-09-18,2
20230905,CA,93.53,6.25,0.22,0.00,0.00,0.00,2023-09-05,2023-09-11,2
20230829,CA,93.35,5.30,1.35,0.00,0.00,0.00,2023-08-29,2023-09-04,2
20230822,CA,93.33,5.30,1.38,0.00,0.00,0.00,2023-08-22,2023-08-28,2
20230815,CA,74.56,18.17,7.27,0.00,0.00,0.00,2023-08-15,2023-08-21,2
20230808,CA,74.55,18.18,7.28,0.00,0.00,0.00,2023-08-08,2023-08-14,2
20230801,CA,74.43,19.05,6.52,0.00,0.00,0.00,2023-08-01,2023-08-07,2
20230725,CA,74.43,19.28,6.29,0.00,0.00,0.00,2023-07-25,2023-07-31,2
20230718,CA,74.45,19.26,6.29,0.00,0.00,0.00,2023-07-18,2023-07-24,2
20230711,CA,71.95,21.76,6.29,0.00,0.00,0.00,2023-07-11,2023-07-17,2
20230704,CA,71.95,23.42,4.63,0.00,0.00,0.00,2023-07-04,2023-07-10,2
20230627,CA,71.88,23.49,4.63,0.00,0.00,0.00,2023-06-27,2023-07-03,2
20230620,CA,72.32,23.05,4.63,0.00,0.00,0.00,2023-06-20,2023-06-26,2
20230613,CA,72.32,23.05,4.63,0.00,0.00,0.00,2023-06-13,2023-06-19,2
20230606,CA,70.88,24.49,4.63,0.00,0.00,0.00,2023-06-06,2023-06-12,2
20230530,CA,70.88,24.49,4.63,0.00,0.00,0.00,2023-05-30,2023-06-05,2
20230523,CA,70.86,24.51,4.63,0.00,0.00,0.00,2023-05-23,2023-05-29,2
20230516,CA,68.02,26.03,5.95,0.00,0.00,0.00,2023-05-16,2023-05-22,2
20230509,CA,68.02,26.03,5.95,0.00,0.00,0.00,2023-05-09,2023-05-15,2
20230502,CA,68.04,23.98,7.98,0.00,0.00,0.00,2023-05-02,2023-05-08,2
20230425,CA,68.04,23.98,7.98,0.00,0.00,0.00,2023-04-25,2023-05-01,2
20230418,CA,65.67,25.55,8.79,0.00,0.00,0.00,2023-04-18,2023-04-24,2
20230411,CA,65.67,25.55,8.79,0.00,0.00,0.00,2023-04-11,2023-04-17,2
20230404,CA,56.17,18.97,24.04,0.82,0.00,0.00,2023-04-04,2023-04-10,2
20230328,CA,55.34,16.55,26.17,1.95,0.00,0.00,2023-03-28,2023-04-03,2
20230321,CA,48.51,15.61,27.39,8.49,0.00,0.00,2023-03-21,2023-03-27,2
20230314,CA,44.66,18.92,27.93,8.49,0.00,0.00,2023-03-14,2023-03-20,2
