latitude,longitude,brightness,acq_date,acq_time,confidence,bright_t31,daynight,datetime,spread_label,hour,month,dayofyear,hour_sin,hour_cos,month_sin,month_cos,is_day,brightness_delta_prev,t31_delta_prev,local_density
36.4194,-119.8197,305.3,2020-01-01,1845,46,280.8,D,2020-01-01 18:45:00,0,18,1,1,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,1,0.0,0.0,0
39.0582,-122.9476,304.2,2020-01-02,1927,58,283.6,D,2020-01-02 19:27:00,0,19,1,2,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,1,0.0,0.0,0
39.2679,-121.6165,300.3,2020-01-02,2106,35,287.4,D,2020-01-02 21:06:00,0,21,1,2,-0.7071067811865477,0.7071067811865475,0.49999999999999994,0.8660254037844387,1,0.0,0.0,0
38.2006,-120.5829,303.2,2020-01-02,2106,55,283.7,D,2020-01-02 21:06:00,0,21,1,2,-0.7071067811865477,0.7071067811865475,0.49999999999999994,0.8660254037844387,1,0.0,0.0,0
39.0808,-122.1803,300.4,2020-01-02,2106,35,287.8,D,2020-01-02 21:06:00,0,21,1,2,-0.7071067811865477,0.7071067811865475,0.49999999999999994,0.8660254037844387,1,0.0,0.0,0
40.9782,-122.3513,335.6,2020-01-02,2107,90,281.4,D,2020-01-02 21:07:00,0,21,1,2,-0.7071067811865477,0.7071067811865475,0.49999999999999994,0.8660254037844387,1,0.0,0.0,0
38.3913,-120.9307,300.5,2020-01-03,1832,38,268.4,D,2020-01-03 18:32:00,0,18,1,3,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,1,0.0,0.0,0
36.0351,-119.3394,306.0,2020-01-03,1832,63,285.3,D,2020-01-03 18:32:00,0,18,1,3,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,1,0.0,0.0,0
38.3995,-120.934,308.5,2020-01-04,1915,67,286.8,D,2020-01-04 19:15:00,0,19,1,4,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,1,8.0,18.400000000000034,0
39.5318,-118.5542,302.1,2020-01-04,2054,48,289.0,D,2020-01-04 20:54:00,0,20,1,4,-0.8660254037844386,0.5,0.49999999999999994,0.8660254037844387,1,0.0,0.0,0
39.5298,-118.5663,311.7,2020-01-04,2054,68,289.3,D,2020-01-04 20:54:00,0,20,1,4,-0.8660254037844386,0.5,0.49999999999999994,0.8660254037844387,1,9.599999999999966,0.30000000000001137,1
38.3891,-120.9357,314.3,2020-01-06,1902,68,283.4,D,2020-01-06 19:02:00,0,19,1,6,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,1,5.800000000000011,-3.400000000000034,0
35.648,-120.4174,302.8,2020-01-06,1903,54,285.3,D,2020-01-06 19:03:00,0,19,1,6,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,1,0.0,0.0,0
