latitude,longitude,brightness,acq_date,acq_time,confidence,bright_t31,daynight,elevation,slope,aspect,hist_temp,hist_humidity,hist_wind_speed,hist_wind_dir
36.4194,-119.8197,305.3,2020-01-01,1845,46,280.8,D,,,,10.1,78,4.0,153
39.2679,-121.6165,300.3,2020-01-02,2106,35,287.4,D,739.4583740234375,89.99703979492188,248.1920318603516,14.4,62,13.1,328
39.0582,-122.9476,304.2,2020-01-02,1927,58,283.6,D,1634.19873046875,89.9964828491211,276.3395080566406,10.2,67,9.6,304
40.9782,-122.3513,335.6,2020-01-02,2107,90,281.4,D,891.016357421875,89.99116516113281,33.70351791381836,10.3,50,1.8,101
38.2006,-120.5829,303.2,2020-01-02,2106,55,283.7,D,1915.318359375,89.99549865722656,278.11767578125,12.8,60,11.2,303
39.0808,-122.1803,300.4,2020-01-02,2106,35,287.8,D,1386.7415771484375,89.99700164794922,318.806640625,15.0,49,13.8,319
38.3913,-120.9307,300.5,2020-01-03,1832,38,268.4,D,1737.5880126953125,89.99675750732422,23.956789016723636,10.3,67,2.3,252
36.0351,-119.3394,306.0,2020-01-03,1832,63,285.3,D,,,,7.3,89,2.4,117
39.5318,-118.5542,302.1,2020-01-04,2054,48,289.0,D,,,,9.9,43,16.3,45
39.5298,-118.5663,311.7,2020-01-04,2054,68,289.3,D,,,,9.9,43,16.3,45
38.3995,-120.934,308.5,2020-01-04,1915,67,286.8,D,1745.571044921875,89.99838256835938,23.959640502929688,10.6,85,1.8,349
38.3891,-120.9357,314.3,2020-01-06,1902,68,283.4,D,1707.6104736328125,89.9893798828125,90.03032684326172,9.0,76,7.3,189
37.0715,-119.3842,327.6,2020-01-06,2041,76,285.0,D,,,,10.0,50,4.1,232
37.9184,-120.001,312.8,2020-01-06,2042,73,284.9,D,,,,12.3,30,5.0,210
35.648,-120.4174,302.8,2020-01-06,1903,54,285.3,D,,,,11.6,52,18.9,72
37.0611,-119.3931,306.5,2020-01-06,2041,61,282.5,D,,,,12.3,36,3.3,229
40.7788,-122.7003,300.2,2020-01-07,607,21,271.9,N,896.28759765625,89.9981460571289,125.54518127441406,-0.3,88,4.7,293
36.1514,-121.12,310.1,2020-01-07,2124,70,283.4,D,,,,15.6,45,2.5,172
40.8041,-122.6595,308.4,2020-01-07,2125,0,271.2,D,731.089599609375,89.99826049804688,29.361602783203125,6.5,57,4.7,157
38.2313,-120.5941,304.3,2020-01-07,2124,59,273.2,D,2155.2646484375,89.9974594116211,61.392208099365234,14.6,33,8.7,210
37.974,-120.0986,311.5,2020-01-07,2124,71,283.1,D,,,,11.9,31,9.2,169
37.0742,-119.3773,303.3,2020-01-08,1850,55,277.0,D,,,,6.2,52,7.1,229
34.3612,-118.9619,304.7,2020-01-08,1851,59,287.1,D,-32768.0,0.0,-0.0,13.5,47,3.6,143
35.5939,-120.3125,339.7,2020-01-08,1851,92,283.0,D,,,,8.0,74,4.3,270
37.9053,-120.037,334.3,2020-01-09,2112,0,276.2,D,,,,4.3,72,11.7,281
37.9142,-120.039,383.3,2020-01-09,2112,87,283.5,D,,,,4.2,72,11.7,281
37.943,-120.0277,317.1,2020-01-09,2112,59,272.0,D,,,,5.3,58,9.5,281
39.8293,-120.517,302.5,2020-01-09,2113,53,273.2,D,-7.9850921630859375,89.9681625366211,269.91802978515625,1.2,62,13.1,344
35.7377,-120.6237,300.0,2020-01-10,1839,20,285.2,D,,,,7.4,83,2.3,72
37.9222,-120.0217,308.7,2020-01-10,1838,67,282.3,D,,,,7.7,25,1.8,217
37.9149,-120.0228,308.9,2020-01-10,2155,68,283.4,D,,,,7.5,42,4.7,247
37.051,-119.2495,301.4,2020-01-10,1838,47,278.8,D,,,,3.1,69,5.2,214
34.7187,-118.3095,302.4,2020-01-11,2059,52,286.6,D,-32768.0,0.0,-0.0,11.8,47,28.9,253
34.7868,-118.5188,345.3,2020-01-11,2059,89,285.0,D,-32768.0,0.0,-0.0,9.9,49,36.3,263
34.7886,-118.5075,360.4,2020-01-11,2059,94,286.0,D,-32768.0,0.0,-0.0,9.9,49,36.3,263
34.7904,-118.4961,307.5,2020-01-11,2059,18,285.9,D,-32768.0,0.0,-0.0,9.9,49,36.3,263
35.6679,-120.9142,302.0,2020-01-12,2142,50,288.1,D,,,,11.3,54,13.1,344
35.6697,-120.8941,312.0,2020-01-12,2142,72,286.7,D,,,,11.0,47,13.4,5
34.4156,-118.7857,300.7,2020-01-13,2047,39,289.8,D,-32768.0,0.0,-0.0,13.9,50,8.1,225
37.1561,-120.6025,308.3,2020-01-13,2048,65,285.0,D,,,,13.2,59,7.4,321
38.7763,-120.5224,305.1,2020-01-13,2048,24,277.6,D,565.8943481445312,89.99817657470703,346.74713134765625,3.7,78,14.2,204
37.1635,-120.6248,328.3,2020-01-13,2048,86,286.8,D,,,,13.2,59,7.4,321
37.9872,-120.0244,332.1,2020-01-13,1909,88,283.2,D,,,,4.5,50,5.5,203
37.0397,-119.3476,302.2,2020-01-14,1814,51,280.1,D,,,,7.0,47,4.0,243
35.6467,-120.5809,304.8,2020-01-14,2130,60,287.8,D,,,,12.2,53,16.1,310
37.5293,-120.9059,300.3,2020-01-14,2130,29,287.4,D,,,,12.7,56,9.9,327
37.0418,-119.3803,316.6,2020-01-14,1814,72,279.3,D,,,,7.0,47,4.0,243
34.3623,-118.957,302.1,2020-01-15,1857,51,285.7,D,-32768.0,0.0,-0.0,14.0,39,3.8,107
37.3343,-119.3864,353.6,2020-01-15,2035,97,274.8,D,,,,6.6,26,3.7,299
35.6166,-120.3747,313.2,2020-01-15,1857,73,285.4,D,,,,8.3,63,16.1,80
35.754,-120.9805,304.0,2020-01-15,1857,0,283.9,D,,,,7.0,73,5.3,62
36.2261,-119.088,300.5,2020-01-16,2118,38,289.2,D,,,,15.1,39,12.8,148
36.2688,-119.1788,317.1,2020-01-16,2118,77,290.0,D,,,,15.2,39,12.8,148
36.4384,-119.4491,332.1,2020-01-16,2118,88,290.8,D,,,,14.1,52,20.4,134
36.439,-119.5978,306.8,2020-01-16,2118,64,288.8,D,,,,14.4,48,21.9,132
37.3294,-119.3773,314.1,2020-01-16,2118,47,273.7,D,,,,-0.3,87,7.5,235
36.6288,-120.5986,303.4,2020-01-17,1845,56,275.8,D,,,,9.1,74,6.1,298
36.6781,-120.6817,313.0,2020-01-17,1845,73,276.9,D,,,,8.9,65,4.0,270
36.4291,-119.5927,300.7,2020-01-18,2106,40,282.4,D,,,,11.3,57,5.7,342
37.9306,-119.9682,322.6,2020-01-21,1820,66,274.0,D,,,,6.4,66,2.1,121
35.3566,-118.9772,303.0,2020-01-22,1903,40,289.4,D,,,,15.3,50,2.4,117
35.6549,-120.5838,303.3,2020-01-22,1903,56,285.0,D,,,,13.0,80,3.7,119
36.3779,-120.1211,302.7,2020-01-22,1903,53,289.0,D,,,,15.3,60,2.1,149
36.047,-120.9497,303.9,2020-01-23,2124,47,292.6,D,,,,17.2,63,1.5,166
37.043,-119.3652,302.8,2020-01-23,2124,54,288.0,D,,,,13.1,61,5.8,240
35.6589,-120.7599,327.7,2020-01-23,2124,85,290.7,D,,,,15.1,67,6.4,43
34.1237,-117.9331,308.1,2020-01-24,1851,61,295.8,D,,,,18.3,43,7.2,183
37.9865,-120.0152,323.8,2020-01-24,1851,83,287.2,D,,,,9.9,62,4.0,80
36.6636,-121.2643,301.3,2020-01-24,1851,46,287.3,D,,,,14.8,73,3.4,328
34.2279,-118.0611,317.4,2020-01-24,1851,78,287.0,D,-32768.0,0.0,-0.0,11.1,42,3.3,186
37.0841,-119.3684,324.6,2020-01-24,1851,83,283.4,D,,,,12.8,52,2.9,263
