latitude,longitude,brightness,acq_date,acq_time,confidence,bright_t31,daynight,datetime,spread_label,hour,month,dayofyear,hour_sin,hour_cos,month_sin,month_cos,is_day,brightness_delta_prev,t31_delta_prev,local_density,hist_temp,hist_humidity,hist_wind_speed,hist_wind_dir,elevation,slope,aspect
36.4194,-119.8197,305.3,2020-01-01,1845,46,280.8,D,2020-01-01 18:45:00,0,18,1,1,-1.0,-1.8369701987210294e-16,0.4999999999999999,0.8660254037844387,1,0.0,0.0,0,10.1,78,4.0,153,,,
39.0582,-122.9476,304.2,2020-01-02,1927,58,283.6,D,2020-01-02 19:27:00,0,19,1,2,-0.9659258262890684,0.2588190451025203,0.4999999999999999,0.8660254037844387,1,0.0,0.0,0,10.2,67,9.6,304,1634.19873046875,89.9964828491211,276.3395080566406
39.2679,-121.6165,300.3,2020-01-02,2106,35,287.4,D,2020-01-02 21:06:00,0,21,1,2,-0.7071067811865477,0.7071067811865475,0.4999999999999999,0.8660254037844387,1,0.0,0.0,0,14.4,62,13.1,328,739.4583740234375,89.99703979492188,248.1920318603516
38.2006,-120.5829,303.2,2020-01-02,2106,55,283.7,D,2020-01-02 21:06:00,0,21,1,2,-0.7071067811865477,0.7071067811865475,0.4999999999999999,0.8660254037844387,1,0.0,0.0,0,12.8,60,11.2,303,1915.318359375,89.99549865722656,278.11767578125
39.0808,-122.1803,300.4,2020-01-02,2106,35,287.8,D,2020-01-02 21:06:00,0,21,1,2,-0.7071067811865477,0.7071067811865475,0.4999999999999999,0.8660254037844387,1,0.0,0.0,0,15.0,49,13.8,319,1386.7415771484375,89.99700164794922,318.806640625
40.9782,-122.3513,335.6,2020-01-02,2107,90,281.4,D,2020-01-02 21:07:00,0,21,1,2,-0.7071067811865477,0.7071067811865475,0.4999999999999999,0.8660254037844387,1,0.0,0.0,0,10.3,50,1.8,101,891.016357421875,89.99116516113281,33.70351791381836
38.3913,-120.9307,300.5,2020-01-03,1832,38,268.4,D,2020-01-03 18:32:00,0,18,1,3,-1.0,-1.8369701987210294e-16,0.4999999999999999,0.8660254037844387,1,0.0,0.0,0,10.3,67,2.3,252,1737.5880126953125,89.99675750732422,23.95678901672364
36.0351,-119.3394,306.0,2020-01-03,1832,63,285.3,D,2020-01-03 18:32:00,0,18,1,3,-1.0,-1.8369701987210294e-16,0.4999999999999999,0.8660254037844387,1,0.0,0.0,0,7.3,89,2.4,117,,,
38.3995,-120.934,308.5,2020-01-04,1915,67,286.8,D,2020-01-04 19:15:00,0,19,1,4,-0.9659258262890684,0.2588190451025203,0.4999999999999999,0.8660254037844387,1,8.0,18.400000000000038,0,10.6,85,1.8,349,1745.571044921875,89.99838256835938,23.959640502929688
39.5318,-118.5542,302.1,2020-01-04,2054,48,289.0,D,2020-01-04 20:54:00,0,20,1,4,-0.8660254037844386,0.5,0.4999999999999999,0.8660254037844387,1,0.0,0.0,0,9.9,43,16.3,45,,,
39.5298,-118.5663,311.7,2020-01-04,2054,68,289.3,D,2020-01-04 20:54:00,0,20,1,4,-0.8660254037844386,0.5,0.4999999999999999,0.8660254037844387,1,9.599999999999966,0.3000000000000113,1,9.9,43,16.3,45,,,
38.3891,-120.9357,314.3,2020-01-06,1902,68,283.4,D,2020-01-06 19:02:00,0,19,1,6,-0.9659258262890684,0.2588190451025203,0.4999999999999999,0.8660254037844387,1,5.800000000000011,-3.400000000000034,0,9.0,76,7.3,189,1707.6104736328125,89.9893798828125,90.03032684326172
35.648,-120.4174,302.8,2020-01-06,1903,54,285.3,D,2020-01-06 19:03:00,0,19,1,6,-0.9659258262890684,0.2588190451025203,0.4999999999999999,0.8660254037844387,1,0.0,0.0,0,11.6,52,18.9,72,,,
37.0611,-119.3931,306.5,2020-01-06,2041,61,282.5,D,2020-01-06 20:41:00,0,20,1,6,-0.8660254037844386,0.5,0.4999999999999999,0.8660254037844387,1,-21.100000000000023,-2.5,0,12.3,36,3.3,229,,,
37.0715,-119.3842,327.6,2020-01-06,2041,76,285.0,D,2020-01-06 20:41:00,0,20,1,6,-0.8660254037844386,0.5,0.4999999999999999,0.8660254037844387,1,0.0,0.0,1,10.0,50,4.1,232,,,
37.9184,-120.001,312.8,2020-01-06,2042,73,284.9,D,2020-01-06 20:42:00,0,20,1,6,-0.8660254037844386,0.5,0.4999999999999999,0.8660254037844387,1,0.0,0.0,0,12.3,30,5.0,210,,,
40.7788,-122.7003,300.2,2020-01-07,607,21,271.9,N,2020-01-07 06:07:00,0,6,1,7,1.0,6.123233995736766e-17,0.4999999999999999,0.8660254037844387,0,0.0,0.0,0,-0.3,88,4.7,293,896.28759765625,89.9981460571289,125.54518127441406
38.2313,-120.5941,304.3,2020-01-07,2124,59,273.2,D,2020-01-07 21:24:00,0,21,1,7,-0.7071067811865477,0.7071067811865475,0.4999999999999999,0.8660254037844387,1,1.1000000000000227,-10.5,0,14.6,33,8.7,210,2155.2646484375,89.9974594116211,61.392208099365234
37.974,-120.0986,311.5,2020-01-07,2124,71,283.1,D,2020-01-07 21:24:00,0,21,1,7,-0.7071067811865477,0.7071067811865475,0.4999999999999999,0.8660254037844387,1,0.0,0.0,0,11.9,31,9.2,169,,,
36.1514,-121.12,310.1,2020-01-07,2124,70,283.4,D,2020-01-07 21:24:00,0,21,1,7,-0.7071067811865477,0.7071067811865475,0.4999999999999999,0.8660254037844387,1,0.0,0.0,0,15.6,45,2.5,172,,,
40.8041,-122.6595,308.4,2020-01-07,2125,0,271.2,D,2020-01-07 21:25:00,0,21,1,7,-0.7071067811865477,0.7071067811865475,0.4999999999999999,0.8660254037844387,1,8.199999999999989,-0.6999999999999886,1,6.5,57,4.7,157,731.089599609375,89.99826049804688,29.361602783203125
37.0742,-119.3773,303.3,2020-01-08,1850,55,277.0,D,2020-01-08 18:50:00,0,18,1,8,-1.0,-1.8369701987210294e-16,0.4999999999999999,0.8660254037844387,1,-3.1999999999999886,-5.5,0,6.2,52,7.1,229,,,
34.3612,-118.9619,304.7,2020-01-08,1851,59,287.1,D,2020-01-08 18:51:00,0,18,1,8,-1.0,-1.8369701987210294e-16,0.4999999999999999,0.8660254037844387,1,0.0,0.0,0,13.5,47,3.6,143,-32768.0,0.0,-0.0
35.5939,-120.3125,339.7,2020-01-08,1851,92,283.0,D,2020-01-08 18:51:00,0,18,1,8,-1.0,-1.8369701987210294e-16,0.4999999999999999,0.8660254037844387,1,0.0,0.0,0,8.0,74,4.3,270,,,
37.9142,-120.039,383.3,2020-01-09,2112,87,283.5,D,2020-01-09 21:12:00,1,21,1,9,-0.7071067811865477,0.7071067811865475,0.4999999999999999,0.8660254037844387,1,49.0,7.300000000000011,0,4.2,72,11.7,281,,,
37.9053,-120.037,334.3,2020-01-09,2112,0,276.2,D,2020-01-09 21:12:00,1,21,1,9,-0.7071067811865477,0.7071067811865475,0.4999999999999999,0.8660254037844387,1,21.5,-8.699999999999989,1,4.3,72,11.7,281,,,
37.943,-120.0277,317.1,2020-01-09,2112,59,272.0,D,2020-01-09 21:12:00,0,21,1,9,-0.7071067811865477,0.7071067811865475,0.4999999999999999,0.8660254037844387,1,-66.19999999999999,-11.5,2,5.3,58,9.5,281,,,
39.8293,-120.517,302.5,2020-01-09,2113,53,273.2,D,2020-01-09 21:13:00,0,21,1,9,-0.7071067811865477,0.7071067811865475,0.4999999999999999,0.8660254037844387,1,0.0,0.0,0,1.2,62,13.1,344,-7.9850921630859375,89.9681625366211,269.91802978515625
37.9222,-120.0217,308.7,2020-01-10,1838,67,282.3,D,2020-01-10 18:38:00,0,18,1,10,-1.0,-1.8369701987210294e-16,0.4999999999999999,0.8660254037844387,1,-8.400000000000034,10.300000000000011,3,7.7,25,1.8,217,,,
37.051,-119.2495,301.4,2020-01-10,1838,47,278.8,D,2020-01-10 18:38:00,0,18,1,10,-1.0,-1.8369701987210294e-16,0.4999999999999999,0.8660254037844387,1,0.0,0.0,0,3.1,69,5.2,214,,,
35.7377,-120.6237,300.0,2020-01-10,1839,20,285.2,D,2020-01-10 18:39:00,0,18,1,10,-1.0,-1.8369701987210294e-16,0.4999999999999999,0.8660254037844387,1,0.0,0.0,0,7.4,83,2.3,72,,,
37.9149,-120.0228,308.9,2020-01-10,2155,68,283.4,D,2020-01-10 21:55:00,0,21,1,10,-0.7071067811865477,0.7071067811865475,0.4999999999999999,0.8660254037844387,1,0.1999999999999886,1.099999999999966,1,7.5,42,4.7,247,,,
34.7187,-118.3095,302.4,2020-01-11,2059,52,286.6,D,2020-01-11 20:59:00,0,20,1,11,-0.8660254037844386,0.5,0.4999999999999999,0.8660254037844387,1,0.0,0.0,0,11.8,47,28.9,253,-32768.0,0.0,-0.0
34.7868,-118.5188,345.3,2020-01-11,2059,89,285.0,D,2020-01-11 20:59:00,0,20,1,11,-0.8660254037844386,0.5,0.4999999999999999,0.8660254037844387,1,0.0,0.0,0,9.9,49,36.3,263,-32768.0,0.0,-0.0
34.7886,-118.5075,360.4,2020-01-11,2059,94,286.0,D,2020-01-11 20:59:00,0,20,1,11,-0.8660254037844386,0.5,0.4999999999999999,0.8660254037844387,1,15.099999999999966,1.0,1,9.9,49,36.3,263,-32768.0,0.0,-0.0
34.7904,-118.4961,307.5,2020-01-11,2059,18,285.9,D,2020-01-11 20:59:00,0,20,1,11,-0.8660254037844386,0.5,0.4999999999999999,0.8660254037844387,1,-52.89999999999998,-0.1000000000000227,2,9.9,49,36.3,263,-32768.0,0.0,-0.0
35.6697,-120.8941,312.0,2020-01-12,2142,72,286.7,D,2020-01-12 21:42:00,0,21,1,12,-0.7071067811865477,0.7071067811865475,0.4999999999999999,0.8660254037844387,1,10.0,-1.400000000000034,0,11.0,47,13.4,5,,,
35.6679,-120.9142,302.0,2020-01-12,2142,50,288.1,D,2020-01-12 21:42:00,0,21,1,12,-0.7071067811865477,0.7071067811865475,0.4999999999999999,0.8660254037844387,1,0.0,0.0,1,11.3,54,13.1,344,,,
37.9872,-120.0244,332.1,2020-01-13,1909,88,283.2,D,2020-01-13 19:09:00,0,19,1,13,-0.9659258262890684,0.2588190451025203,0.4999999999999999,0.8660254037844387,1,0.0,0.0,0,4.5,50,5.5,203,,,
34.4156,-118.7857,300.7,2020-01-13,2047,39,289.8,D,2020-01-13 20:47:00,0,20,1,13,-0.8660254037844386,0.5,0.4999999999999999,0.8660254037844387,1,0.0,0.0,0,13.9,50,8.1,225,-32768.0,0.0,-0.0
