feature,lr_importance_mean,lr_importance_std
month_sin,0.14339666901243256,0.021953423818734618
local_density,0.1189420595824537,0.020497715921055055
month_cos,0.06389866291344125,0.017896887093294064
longitude,0.03878723903354443,0.017502781735339132
hist_temp,0.03732113535069202,0.006173599493162908
bright_t31,0.02665962936898897,0.007597176699940027
month,0.02664790053952617,0.007281855838970034
brightness,0.0209946047384471,0.011304304005658142
acq_time,0.017300023457658954,0.004223437326543087
is_day,0.009570724841660794,0.002740232108409535
hour,0.0026741731175228935,0.0011935776901908256
hist_wind_speed,0.0023926812104152597,0.0023698041154796173
dayofyear,0.0016889514426460584,0.0026059125864453425
latitude,0.0006568144499178973,0.011937643882059248
confidence,0.0003166783954960728,0.00024065546010652901
t31_delta_prev,3.518648838849447e-05,0.0002778024696769087
brightness_delta_prev,-0.0019939010086792775,0.0016915558411747767
hist_wind_dir,-0.002451325357729339,0.0034680266584055253
hour_sin,-0.003166783954961272,0.009259240458629955
hist_humidity,-0.003718038939713808,0.012632994754890041
hour_cos,-0.005219329110954696,0.01059045756906738
