feature,rf_importance_mean,rf_importance_std
dayofyear,0.03088787239033549,0.008792596232564908
local_density,0.02579756040347181,0.006350186384344263
longitude,0.013488153882242615,0.00393659076866957
latitude,0.01332395026976312,0.0032817466045721604
month_sin,0.013048322777386856,0.0025778422301284193
hist_wind_dir,0.011072015012901759,0.0033376506425550983
month_cos,0.008075299085151366,0.002629331779578304
brightness_delta_prev,0.004263429509734973,0.0015901217528850938
month,0.00407576823832988,0.005199011208565108
hist_humidity,0.00387051372273054,0.003502680947081627
hist_wind_speed,0.002961529439362021,0.002726826730743271
t31_delta_prev,0.001630307295332012,0.0018358147315219937
brightness,0.0004398311048558146,0.005318623271183903
acq_time,0.00042810227539297196,0.0014249562428869551
is_day,0.00024044100398784574,0.00043763624693419947
hour_sin,0.0001172882946282594,0.00047786884324331334
hour,-0.0002756274923762181,0.00041055091773835545
bright_t31,-0.0005688482289467056,0.0024061329883571323
hist_temp,-0.0009207131128312728,0.0025181567414157687
hour_cos,-0.002726952850105502,0.0009764734814301435
confidence,-0.005195871452029055,0.007326210322166409
